trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-128.83592872664664,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-114.67855120945482,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-42.80745093391689,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-78.57434747328234,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,18,-12.946553598488013,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-99.57497831892323,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-128.93160514867793,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,-87.71016209442061,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,19,13.39080190670166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-45.32681676926526,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-204.91836189560559,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-18.47714316875438,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-28.424332052615604,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,18,4.1608999165348175,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-9.124581478402757,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,8.481961467117088,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,17,20.264922084734724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,7,-19.660870324833912,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,10.95240096494432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,7,16.18496086650624,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,25.762998608879144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,4,-3.128080007861776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,13,19.073946153693818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,-82.56346594917456,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,16,8.832696491147951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,2.2652134705455804,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,14.31570162835026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,0,-14.146409834874584,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,25.70360475617853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,7,22.709423829097503,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
