trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,1,-75.703151106303,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.25}",20,8,-89.07191428633917,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",20,5,-66.19143622698229,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.7, 'e': 0.0625}",20,15,11.070010581985079,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.7, 'e': 0.04}",20,0,-75.9973702590797,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",25,2,-5.610533269706911,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",20,0,-81.09899672677926,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.015625}",20,3,-49.76213532692207,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",20,7,24.657085337535165,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.01}",25,0,30.58994527081323,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",25,11,22.444913283288862,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",30,8,14.007376341337434,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,0,-83.79362195582233,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,2,11.293934102089015,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",20,6,24.400210821955216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",25,0,36.390331577200776,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,7,27.831770675346878,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",30,12,36.137480301752184,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",20,7,23.146554137263614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025}",20,0,31.907490586253164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",30,3,40.306766649642725,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,13,12.700192064851224,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",20,14,8.574750845309559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",30,11,-31.493077903419948,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
