trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.27024510158367,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.81492702048303,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.30616322987325,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.67968409280576,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.28174709211379,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.20088564580458,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.64927291452055,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.80504735297436,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.98966527998543,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.360895243918904,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.06090177561407,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.736398649669916,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.86747642738192,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.40840888559532,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.680178784811147,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.07527642473705,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,9,-8.358216889304337,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.2695553776342,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.645635609480806,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.69356974784503,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.8444947042455,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.31646492023143,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-219.77032702991656,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.659441520612205,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-289.50468699556563,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.2374988468936,"{0: 11, 1: 9, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.54568596382697,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,15,-32.82609246445985,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.27626555177766,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.22821096846873,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
